titulo,zona,latitud,longitud,direccion_usada,geocoding_ok
"Piso en calle del Plátano, Valdeacederas, Madrid",tetuan,40.4680716,-3.700338,"calle del Plátano, Valdeacederas, Madrid, España",True
"Piso en calle del General Cabrera, Cuatro Caminos, Madrid",tetuan,40.3773061,-3.768953,"calle del General Cabrera, Madrid, España",True
"Piso en calle de la Miosotis, Valdeacederas, Madrid",tetuan,40.4679108,-3.7034226,"Valdeacederas, Madrid, España",True
"Piso en calle de Álvarez Abellán, Puerta Bonita, Madrid",carabanchel,40.3813279,-3.7397504,"Puerta Bonita, Madrid, España",True
"Piso en calle de Gómez de Avellaneda, Pueblo Nuevo, Madrid",ciudad-lineal,40.433314,-3.6436408,"calle de Gómez de Avellaneda, Pueblo Nuevo, Madrid, España",True
"Piso en calle de la Lechuga, Sol, Madrid",centro,40.4143472,-3.7068033,"calle de la Lechuga, Sol, Madrid, España",True
"Piso en calle de la Montera, Sol, Madrid",centro,40.4190835,-3.7020615,"calle de la Montera, Sol, Madrid, España",True
"Piso en calle Ebanistería, Amposta, Madrid",san-blas,40.4250496,-3.6219939,"calle Ebanistería, Amposta, Madrid, España",True
"Piso en calle de Manuela Malasaña, Malasaña-Universidad, Madrid",centro,40.4287026,-3.7040719,"calle de Manuela Malasaña, Malasaña-Universidad, Madrid, España",True
"Piso en calle de Santa Tecla, 52, Canillejas, Madrid",san-blas,40.4432273,-3.6134758,"calle de Santa Tecla, 52, Canillejas, Madrid, España",True
"Piso en Ciudad Jardín, Madrid",chamartin,40.4487115,-3.6738706,"Ciudad Jardín, Madrid, España",True
"Piso en calle de la Constancia, Prosperidad, Madrid",chamartin,40.443946,-3.6701659,"Prosperidad, Madrid, España",True
"Piso en calle de Antonia Mercé, Goya, Madrid",barrio-de-salamanca,40.4246991,-3.6762001,"Goya, Madrid, España",True
"Piso en calle de Walia, Niño Jesús, Madrid",retiro,40.4077603,-3.6715271,"calle de Walia, Niño Jesús, Madrid, España",True
"Piso en calle de San Nazario, Prosperidad, Madrid",chamartin,40.443946,-3.6701659,"Prosperidad, Madrid, España",True
"Piso en calle de Talisio, Quintana, Madrid",ciudad-lineal,40.4385757,-3.644584,"calle de Talisio, Quintana, Madrid, España",True
"Piso en calle Bergantín, Alameda de Osuna, Madrid",barajas,40.4573604,-3.586553,"calle Bergantín, Alameda de Osuna, Madrid, España",True
"Piso en calle de Escalonilla, Los Cármenes, Madrid",latina,40.4008333,-3.7372399,"Los Cármenes, Madrid, España",True
"Piso en avenida de Oporto, Abrantes, Madrid",carabanchel,40.3852667,-3.7226544,"avenida de Oporto, Abrantes, Madrid, España",True
"Piso en plaza de Andres Arteaga, Moscardó, Madrid",usera,40.3887853,-3.7070727,"plaza de Andres Arteaga, Moscardó, Madrid, España",True
"Piso en paseo de Recoletos, Recoletos, Madrid",barrio-de-salamanca,40.4237276,-3.6899043,"paseo de Recoletos, Recoletos, Madrid, España",True
"Piso en calle de la Costa Brava, 13, Mirasierra, Madrid",fuencarral,40.4944289,-3.7017979,"calle de la Costa Brava, 13, Mirasierra, Madrid, España",True
"Piso en paseo de la Reina Cristina, Jerónimos, Madrid",retiro,40.4073075,-3.6800534,"paseo de la Reina Cristina, Jerónimos, Madrid, España",True
"Piso en calle Esteban Terradas, Castilla, Madrid",chamartin,40.4691847,-3.6852716,"calle Esteban Terradas, Castilla, Madrid, España",True
"Ático en avenida de la Albufera, Palomeras sureste, Madrid",puente-de-vallecas,40.3858185,-3.6365626,"avenida de la Albufera, Palomeras sureste, Madrid, España",True
"Piso en Ricardo Damas, 9, Legazpi, Madrid",arganzuela,40.3855803,-3.6918646,"Ricardo Damas, 9, Legazpi, Madrid, España",True
"Piso en calle San Eudaldo, Ambroz, Madrid",vicalvaro,40.4058697,-3.6021797,"calle San Eudaldo, Madrid, España",True
"Piso en calle de Brístol, Guindalera, Madrid",barrio-de-salamanca,40.4397479,-3.6622362,"calle de Brístol, Guindalera, Madrid, España",True
"Piso en calle del Porvenir, 9, Fuente del Berro, Madrid",barrio-de-salamanca,40.4243684,-3.6659916,"calle del Porvenir, 9, Fuente del Berro, Madrid, España",True
"Piso en calle Cuevas Bajas, San Fermín, Madrid",usera,40.3694035,-3.6910831,"calle Cuevas Bajas, San Fermín, Madrid, España",True
"Piso en calle de Boyer, Los Berrocales, Madrid",vicalvaro,40.3759046,-3.5799742,"Los Berrocales, Madrid, España",True
"Piso en calle de Núñez Morgado, Castilla, Madrid",chamartin,40.468445,-3.6854135,"calle de Núñez Morgado, Castilla, Madrid, España",True
"Piso en calle Guisona, Pinar del Rey, Madrid",hortaleza,40.4684941,-3.6541334,"calle Guisona, Pinar del Rey, Madrid, España",True
"Chalet pareado en calle Tramontana, Timón, Madrid",barajas,40.4762584,-3.604051,"Timón, Madrid, España",True
"Dúplex en calle de Goya, 19, Recoletos, Madrid",barrio-de-salamanca,40.4254638,-3.6868271,"calle de Goya, 19, Recoletos, Madrid, España",True
"Piso en avenida de Entrevías, Entrevías, Madrid",puente-de-vallecas,40.3790595,-3.6654276,"avenida de Entrevías, Entrevías, Madrid, España",True
"Piso en calle Leonor Góngora, Los Rosales, Madrid",villaverde,40.3507271,-3.6872436,"calle Leonor Góngora, Los Rosales, Madrid, España",True
"Ático en calle Narváez, 30, Ibiza, Madrid",retiro,40.4209464,-3.6760432,"calle Narváez, 30, Ibiza, Madrid, España",True
"Estudio en avenida de Córdoba, 2, Almendrales, Madrid",usera,40.3868136,-3.6992062,"avenida de Córdoba, 2, Almendrales, Madrid, España",True
"Chalet pareado en Rejas, Madrid",san-blas,40.4275001,-3.615954,"san-blas, Madrid, España",True
"Piso en calle de María Panés, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.444556,-3.6965228,"calle de María Panés, Madrid, España",True
"Piso en paseo de la Reina Cristina, Pacífico, Madrid",retiro,40.4073075,-3.6800534,"paseo de la Reina Cristina, Pacífico, Madrid, España",True
"Piso en calle de Peña Nueva, Casco Histórico de Vallecas, Madrid",villa-de-vallecas,40.3729572,-3.6207311,"calle de Peña Nueva, Casco Histórico de Vallecas, Madrid, España",True
"Piso en calle Piña, Buena Vista, Madrid",carabanchel,40.5798793,-4.0203013,"calle Piña, Madrid, España",True
"Piso en calle del Doctor Sánchez, s/n, San Diego, Madrid",puente-de-vallecas,40.3922796,-3.6674239,"San Diego, Madrid, España",True
"Chalet pareado en Aravaca, Madrid",moncloa,40.4350196,-3.719236,"moncloa, Madrid, España",True
"Piso en calle de Torija, Palacio, Madrid",centro,40.4208049,-3.7102737,"calle de Torija, Palacio, Madrid, España",True
"Piso en Calle del Toboso, 150, San Isidro, Madrid",carabanchel,40.3011437,-3.4465274,"Calle del Toboso, 150, Madrid, España",True
"Dúplex en Media Legua, Madrid",moratalaz,40.4119951,-3.6575338,"Media Legua, Madrid, España",True
"Piso en calle de Arturo Soria, Costillares, Madrid",ciudad-lineal,40.4835267,-3.6640338,"calle de Arturo Soria, Costillares, Madrid, España",True
"Piso en calle de Toledo, 34, Palacio, Madrid",centro,40.4129083,-3.70768,"calle de Toledo, 34, Palacio, Madrid, España",True
"Piso en plaza del Campillo del Mundo Nuevo, Lavapiés-Embajadores, Madrid",centro,40.4064558,-3.7086546,"plaza del Campillo del Mundo Nuevo, Madrid, España",True
"Piso en calle de Donoso Cortés, Arapiles, Madrid",chamberi,40.4363019,-3.7111868,"calle de Donoso Cortés, Arapiles, Madrid, España",True
"Piso en calle de León, Huertas-Cortes, Madrid",centro,40.4880639,-3.3407191,"calle de León, Madrid, España",True
"Piso en calle de Emilio Ferrari, 32, Pueblo Nuevo, Madrid",ciudad-lineal,40.4329123,-3.6427014,"calle de Emilio Ferrari, 32, Pueblo Nuevo, Madrid, España",True
"Piso en de Sta. Catalina, 5, Huertas-Cortes, Madrid",centro,40.4156646,-3.6976006,"de Sta. Catalina, 5, Madrid, España",True
"Piso en avenida del Mediterráneo, 43, Estrella, Madrid",retiro,40.4070705,-3.6692798,"avenida del Mediterráneo, 43, Estrella, Madrid, España",True
"Piso en calle de la Academia, 10, Jerónimos, Madrid",retiro,40.5183314,-3.921391,"calle de la Academia, 10, Madrid, España",True
"Piso en avenida Gran Vía del Este, Valdebernardo - Valderrivas, Madrid",vicalvaro,40.4018377,-3.5950537,"vicalvaro, Madrid, España",True
"Piso en calle de Santa Engracia, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4402412,-3.7010059,"calle de Santa Engracia, Madrid, España",True
"Piso en via Carpetana, Aluche, Madrid",latina,40.3927805,-3.7413505,"via Carpetana, Aluche, Madrid, España",True
"Piso en calle de Fernán González, Goya, Madrid",barrio-de-salamanca,40.4223982,-3.6743181,"calle de Fernán González, Goya, Madrid, España",True
"Piso en plaza de Coímbra, Abrantes, Madrid",carabanchel,40.3830418,-3.7236942,"plaza de Coímbra, Abrantes, Madrid, España",True
"Piso en Ventas, Madrid",ciudad-lineal,40.4310642,-3.6635419,"Ventas, Madrid, España",True
"Piso en calle Zalamea, Simancas, Madrid",san-blas,40.4288615,-3.6244928,"calle Zalamea, Simancas, Madrid, España",True
"Casa o chalet independiente en calle del Nacimiento, Simancas, Madrid",san-blas,40.437583,-3.6248568,"Simancas, Madrid, España",True
"Piso en calle de Sangenjo, La Paz, Madrid",fuencarral,40.4893951,-3.698936,"calle de Sangenjo, La Paz, Madrid, España",True
"Piso en de Alberto de Alcocer, Nueva España, Madrid",chamartin,40.4598907,-3.6873289,"de Alberto de Alcocer, Nueva España, Madrid, España",True
"Piso en calle de Eugenia de Montijo, Vista Alegre, Madrid",carabanchel,40.3767103,-3.7497685,"calle de Eugenia de Montijo, Vista Alegre, Madrid, España",True
"Piso en avenida de la Gavia, 14, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3749571,-3.6104461,"avenida de la Gavia, 14, Madrid, España",True
"Piso en calle Manuel Aleixandre, 14, Legazpi, Madrid",arganzuela,40.3911936,-3.6934558,"calle Manuel Aleixandre, 14, Legazpi, Madrid, España",True
"Piso en calle de la Primavera, 9, Lavapiés-Embajadores, Madrid",centro,40.4095986,-3.7003953,"calle de la Primavera, 9, Lavapiés-Embajadores, Madrid, España",True
"Piso en calle de Fernando VI, Chueca-Justicia, Madrid",centro,40.4249791,-3.6959317,"calle de Fernando VI, Chueca-Justicia, Madrid, España",True
"Piso en calle del Caribe, 4, San Pascual, Madrid",ciudad-lineal,40.4675441,-3.8624749,"calle del Caribe, 4, Madrid, España",True
"Piso en calle de la Libertad, Chueca-Justicia, Madrid",centro,40.4223967,-3.6970489,"calle de la Libertad, Chueca-Justicia, Madrid, España",True
"Piso en calle de Luis Claudio, s/n, Buena Vista, Madrid",carabanchel,40.3711302,-3.7608291,"calle de Luis Claudio, Madrid, España",True
"Piso en calle Montpellier, Horcajo, Madrid",moratalaz,40.4049519,-3.6307364,"calle Montpellier, Horcajo, Madrid, España",True
"Piso en calle del Poeta Blas de Otero, Ventas, Madrid",ciudad-lineal,40.4229216,-3.6514422,"calle del Poeta Blas de Otero, Ventas, Madrid, España",True
"Piso en calle Cine, 21, Campamento, Madrid",latina,40.3952625,-3.7744741,"calle Cine, 21, Campamento, Madrid, España",True
"Piso en Ventilla-Almenara, Madrid",tetuan,40.4698213,-3.696293,"Ventilla-Almenara, Madrid, España",True
"Piso en calle de Rocafort, San Cristóbal, Madrid",villaverde,40.3422069,-3.6858795,"calle de Rocafort, San Cristóbal, Madrid, España",True
"Piso en calle de García Luna, Ciudad Jardín, Madrid",chamartin,40.4462046,-3.6747686,"calle de García Luna, Ciudad Jardín, Madrid, España",True
"Piso en calle de Núñez Morgado, 9, Castilla, Madrid",chamartin,40.4684016,-3.6856769,"calle de Núñez Morgado, 9, Castilla, Madrid, España",True
"Piso en calle del Tranvia de Arganda, 14, Palomeras sureste, Madrid",puente-de-vallecas,40.380468,-3.6330893,"calle del Tranvia de Arganda, 14, Palomeras sureste, Madrid, España",True
"Piso en calle Bausá, 19, Costillares, Madrid",ciudad-lineal,40.4690272,-3.6689347,"calle Bausá, 19, Costillares, Madrid, España",True
"Piso en avenida Avenue de Ramón y Cajal, 81, Bernabéu-Hispanoamérica, Madrid",chamartin,40.453057,-3.6883531,"Bernabéu-Hispanoamérica, Madrid, España",True
"Piso en calle Hermandad de Donantes de Sangre, Los Ángeles, Madrid",villaverde,40.3533651,-3.7017354,"calle Hermandad de Donantes de Sangre, Los Ángeles, Madrid, España",True
"Dúplex en calle de las Minas, 22, Malasaña-Universidad, Madrid",centro,40.472888,-3.5136033,"calle de las Minas, 22, Madrid, España",True
"Piso en calle de Berruguete, 72, Berruguete, Madrid",tetuan,40.4597558,-3.7051239,"calle de Berruguete, 72, Berruguete, Madrid, España",True
"Piso en calle de Guzmán el Bueno, 83, Gaztambide, Madrid",chamberi,40.4373794,-3.7131022,"calle de Guzmán el Bueno, 83, Gaztambide, Madrid, España",True
"Piso en calle Gumersinda Rosillo, 6, Moscardó, Madrid",usera,40.3859631,-3.7079095,"calle Gumersinda Rosillo, 6, Moscardó, Madrid, España",True
"Piso en Ciudad Universitaria, Madrid",moncloa,40.4438005,-3.7264206,"Ciudad Universitaria, Madrid, España",True
"Ático en calle de Romero Robledo, 13, Argüelles, Madrid",moncloa,40.4320892,-3.7199543,"calle de Romero Robledo, 13, Argüelles, Madrid, España",True
"Piso en calle del General Díaz Porlier, Lista, Madrid",barrio-de-salamanca,40.4328794,-3.6765762,"calle del General Díaz Porlier, Lista, Madrid, España",True
"Piso en avenida de Rafaela Ybarra, Pradolongo, Madrid",usera,40.3736542,-3.7122456,"avenida de Rafaela Ybarra, Pradolongo, Madrid, España",True
"Dúplex en calle de Fuencarral, Trafalgar, Madrid",chamberi,40.4307474,-3.7030616,"calle de Fuencarral, Trafalgar, Madrid, España",True
"Piso en San Diego, Madrid",puente-de-vallecas,40.3922796,-3.6674239,"San Diego, Madrid, España",True
"Piso en calle del Porvenir, Fuente del Berro, Madrid",barrio-de-salamanca,40.4247331,-3.6661989,"calle del Porvenir, Fuente del Berro, Madrid, España",True
"Piso en calle del General Lacy, Palos de la Frontera, Madrid",arganzuela,40.4034214,-3.6907285,"calle del General Lacy, Palos de la Frontera, Madrid, España",True
"Ático en calle Grañón, 20, Las Tablas, Madrid",fuencarral,40.5060799,-3.6750448,"calle Grañón, 20, Las Tablas, Madrid, España",True
"Piso en calle del Alcalde Garrido Juaristi, 7, Media Legua, Madrid",moratalaz,40.4149894,-3.656875,"calle del Alcalde Garrido Juaristi, 7, Media Legua, Madrid, España",True
"Piso en calle de Manuel Noya, 22, Pradolongo, Madrid",usera,40.3881519,-3.7122902,"calle de Manuel Noya, 22, Madrid, España",True
"Piso en calle de Elfo, Quintana, Madrid",ciudad-lineal,40.4356576,-3.6471022,"Quintana, Madrid, España",True
"Piso en calle de Antonio Acuña, Goya, Madrid",barrio-de-salamanca,40.4225675,-3.6788543,"calle de Antonio Acuña, Goya, Madrid, España",True
"Piso en Estrella hadar, 1, Legazpi, Madrid",arganzuela,40.394229,-3.6793779,"Estrella hadar, 1, Legazpi, Madrid, España",True
"Piso en del Doctor Federico Rubio y Galí, Bellas Vistas, Madrid",tetuan,40.4526848,-3.7072396,"Bellas Vistas, Madrid, España",True
"Chalet adosado en calle de Gallur, Los Cármenes, Madrid",latina,40.4008333,-3.7372399,"Los Cármenes, Madrid, España",True
"Chalet adosado en paseo del Comandante Fortea, Casa de Campo, Madrid",moncloa,40.4241907,-3.755858,"Casa de Campo, Madrid, España",True
"Piso en calle del Barranco del Novillo, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.371129,-3.6135502,"Ensanche de Vallecas - La Gavia, Madrid, España",True
"Piso en calle de Santa Teresa, 10, Chueca-Justicia, Madrid",centro,40.4255086,-3.695701,"calle de Santa Teresa, 10, Chueca-Justicia, Madrid, España",True
"Piso en calle Hernández de Tejada, 10, San Pascual, Madrid",ciudad-lineal,40.4470787,-3.6505348,"calle Hernández de Tejada, 10, San Pascual, Madrid, España",True
"Piso en calle de Carlota O’Neill, 20, San Pascual, Madrid",ciudad-lineal,40.4419665,-3.6518536,"calle de Carlota O’Neill, 20, San Pascual, Madrid, España",True
"Piso en calle de Eloy Gonzalo, Trafalgar, Madrid",chamberi,40.4343191,-3.7012858,"calle de Eloy Gonzalo, Trafalgar, Madrid, España",True
"Piso en avenida de San Luis, Pinar del Rey, Madrid",hortaleza,40.4721032,-3.6532254,"avenida de San Luis, Pinar del Rey, Madrid, España",True
"Piso en costanilla de San Andrés, Palacio, Madrid",centro,40.4132214,-3.7116698,"costanilla de San Andrés, Palacio, Madrid, España",True
"Piso en Pilar, Madrid",fuencarral,40.4771334,-3.7089157,"Pilar, Madrid, España",True
"Piso en calle de Ríos Rosas, 54, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4415489,-3.6952899,"calle de Ríos Rosas, 54, Madrid, España",True
"Piso en Valdebebas - Valdefuentes, Madrid",hortaleza,40.4924377,-3.668818,"Valdebebas - Valdefuentes, Madrid, España",True
"Piso en calle de Tomás García, San Diego, Madrid",puente-de-vallecas,40.3922796,-3.6674239,"San Diego, Madrid, España",True
"Piso en calle de Francisco Paíno, Abrantes, Madrid",carabanchel,40.3819072,-3.7287126,"calle de Francisco Paíno, Abrantes, Madrid, España",True
"Piso en travesía de Felipe de Diego, Palomeras Bajas, Madrid",puente-de-vallecas,40.3791048,-3.6599781,"travesía de Felipe de Diego, Palomeras Bajas, Madrid, España",True
"Piso en calle de Cáceres, Delicias, Madrid",arganzuela,40.3986125,-3.6960003,"calle de Cáceres, Delicias, Madrid, España",True
"Ático en calle de Lorenza Correa, Bellas Vistas, Madrid",tetuan,40.4526848,-3.7072396,"Bellas Vistas, Madrid, España",True
"Ático en Antonio Pérez, 24, El Viso, Madrid",chamartin,40.4425541,-3.6816992,"Antonio Pérez, 24, El Viso, Madrid, España",True
"Piso en calle de Carabelos, San Fermín, Madrid",usera,40.3758646,-3.69039,"calle de Carabelos, San Fermín, Madrid, España",True
"Dúplex en paseo de San Francisco de Sales, Vallehermoso, Madrid",chamberi,40.4420186,-3.7134849,"paseo de San Francisco de Sales, Vallehermoso, Madrid, España",True
"Piso en calle de Miramadrid, Pradolongo, Madrid",usera,40.3813983,-3.7065048,"calle de Miramadrid, Pradolongo, Madrid, España",True
"Ático en calle de Maldonado, Castellana, Madrid",barrio-de-salamanca,40.4339632,-3.6850153,"calle de Maldonado, Castellana, Madrid, España",True
"Ático en calle de Pablo Vidal, Colina, Madrid",ciudad-lineal,40.4580463,-3.6602556,"Colina, Madrid, España",True
"Piso en El Pardo, Madrid",fuencarral,40.5205538,-3.7780738,"El Pardo, Madrid, España",True
"Piso en calle del Monte Oliveti, Numancia, Madrid",puente-de-vallecas,40.3995283,-3.6596765,"Numancia, Madrid, España",True
"Dúplex en calle Teniente Muñoz Díaz, 7, Palomeras Bajas, Madrid",puente-de-vallecas,40.3914835,-3.6574601,"calle Teniente Muñoz Díaz, 7, Palomeras Bajas, Madrid, España",True
"Piso en Los Berrocales, Madrid",vicalvaro,40.3759046,-3.5799742,"Los Berrocales, Madrid, España",True
"Piso en calle del General Oráa, 40, Castellana, Madrid",barrio-de-salamanca,40.4359229,-3.6814122,"calle del General Oráa, 40, Castellana, Madrid, España",True
"Casa o chalet independiente en calle Angel Beato, s/n, Peñagrande, Madrid",fuencarral,40.4789641,-3.7258417,"Peñagrande, Madrid, España",True
"Piso en Parcela Rm C-26, s/n, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.371129,-3.6135502,"Ensanche de Vallecas - La Gavia, Madrid, España",True
"Piso en calle de la Fuente del Berro, 13, Goya, Madrid",barrio-de-salamanca,40.4238499,-3.6709999,"calle de la Fuente del Berro, 13, Goya, Madrid, España",True
"Piso en calle de Valldemosa, Valdezarza, Madrid",moncloa,40.4649542,-3.717074,"Valdezarza, Madrid, España",True
"Piso en calle del Monte Esquinza, 9, Almagro, Madrid",chamberi,40.4267617,-3.692524,"calle del Monte Esquinza, 9, Almagro, Madrid, España",True
"Piso en calle del Divino Pastor, 31, Malasaña-Universidad, Madrid",centro,40.4277246,-3.7046879,"calle del Divino Pastor, 31, Malasaña-Universidad, Madrid, España",True
"Piso en calle Cordobanes, 9, Hellín, Madrid",san-blas,40.4325054,-3.6180328,"calle Cordobanes, 9, Hellín, Madrid, España",True
"Estudio en paseo de las Acacias, Acacias, Madrid",arganzuela,40.4049717,-3.7025883,"paseo de las Acacias, Acacias, Madrid, España",True
"Piso en calle de la Oca, Vista Alegre, Madrid",carabanchel,40.3882319,-3.7431651,"calle de la Oca, Vista Alegre, Madrid, España",True
"Piso en avenida del Manzanares, Los Cármenes, Madrid",latina,40.4072177,-3.722761,"avenida del Manzanares, Los Cármenes, Madrid, España",True
"Piso en calle de Palafox, s/n, Trafalgar, Madrid",chamberi,40.4310262,-3.701145,"calle de Palafox, s/n, Trafalgar, Madrid, España",True
"Piso en calle del Diario la Nación, 19, Puerta Bonita, Madrid",carabanchel,40.3813279,-3.7397504,"Puerta Bonita, Madrid, España",True
"Casa o chalet independiente en Concepción, Madrid",ciudad-lineal,40.4484305,-3.650495,"ciudad-lineal, Madrid, España",True
"Piso en calle de Andrés Mellado, Gaztambide, Madrid",chamberi,40.4354295,-3.714333,"calle de Andrés Mellado, Gaztambide, Madrid, España",True
"Piso en calle de Fuencarral, 42, Chueca-Justicia, Madrid",centro,40.4229659,-3.7006435,"calle de Fuencarral, 42, Chueca-Justicia, Madrid, España",True
"Piso en calle de la Isla de Oza, 56, Ciudad Universitaria, Madrid",moncloa,40.4637891,-3.7232536,"calle de la Isla de Oza, 56, Ciudad Universitaria, Madrid, España",True
"Piso en calle Alcaudón, 47, San Isidro, Madrid",carabanchel,40.3950959,-3.7341569,"calle Alcaudón, 47, San Isidro, Madrid, España",True
"Piso en calle de Montseny, Numancia, Madrid",puente-de-vallecas,40.400999,-3.6636832,"calle de Montseny, Numancia, Madrid, España",True
"Piso en calle de Luis Cabrera, Prosperidad, Madrid",chamartin,40.4432352,-3.6741864,"calle de Luis Cabrera, Prosperidad, Madrid, España",True
"Piso en calle de Antonio Ponz, Pueblo Nuevo, Madrid",ciudad-lineal,40.428268,-3.6439446,"calle de Antonio Ponz, Pueblo Nuevo, Madrid, España",True
"Piso en calle Biosca, Pinar del Rey, Madrid",hortaleza,40.4706283,-3.6500314,"calle Biosca, Pinar del Rey, Madrid, España",True
"Piso en calle Juan de Arolas, 4, Ventas, Madrid",ciudad-lineal,40.4305576,-3.647481,"calle Juan de Arolas, 4, Ventas, Madrid, España",True
"Chalet adosado en calle Sirrach, Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Chalet pareado en paseo de los Jacintos, Bernabéu-Hispanoamérica, Madrid",chamartin,40.453057,-3.6883531,"Bernabéu-Hispanoamérica, Madrid, España",True
"Piso en calle de Antonio Acuña, s/n, Goya, Madrid",barrio-de-salamanca,40.4225675,-3.6788543,"calle de Antonio Acuña, s/n, Goya, Madrid, España",True
"Piso en calle de Felipe Álvarez, 18, Casco Histórico de Vallecas, Madrid",villa-de-vallecas,40.3822322,-3.6225602,"calle de Felipe Álvarez, 18, Casco Histórico de Vallecas, Madrid, España",True
"Piso en paseo de las Acacias, Acacias, Madrid",arganzuela,40.4049717,-3.7025883,"paseo de las Acacias, Acacias, Madrid, España",True
"Casa o chalet independiente en calle de Guecho, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Ático en Valdemarín, Madrid",moncloa,40.4675501,-3.7822569,"Valdemarín, Madrid, España",True
"Piso en calle Suertes de la Villa, El Cañaveral, Madrid",vicalvaro,40.4026656,-3.5486343,"calle Suertes de la Villa, El Cañaveral, Madrid, España",True
"Ático en calle de Arturo Soria, 125, Colina, Madrid",ciudad-lineal,40.4566874,-3.6571844,"calle de Arturo Soria, 125, Colina, Madrid, España",True
"Piso en calle de Don Ramón de la Cruz, Castellana, Madrid",barrio-de-salamanca,40.4291245,-3.6841708,"calle de Don Ramón de la Cruz, Castellana, Madrid, España",True
"Piso en calle de Preciados, 33, Sol, Madrid",centro,40.4178272,-3.7022221,"Sol, Madrid, España",True
"Casa o chalet independiente en calle de Darío Aparicio, Valdemarín, Madrid",moncloa,40.4675501,-3.7822569,"Valdemarín, Madrid, España",True
"Piso en calle de Isaac Peral, Gaztambide, Madrid",chamberi,40.4349769,-3.7183452,"calle de Isaac Peral, Gaztambide, Madrid, España",True
"Piso en calle de Alcalá, Recoletos, Madrid",barrio-de-salamanca,40.4206612,-3.6853102,"calle de Alcalá, Recoletos, Madrid, España",True
"Piso en avenida Cerro de los Ángeles, Zofío, Madrid",usera,40.3057895,-3.6916417,"avenida Cerro de los Ángeles, Madrid, España",True
"Piso en calle de la Virgen de los Peligros, 9, Sol, Madrid",centro,40.4188142,-3.6997099,"calle de la Virgen de los Peligros, 9, Sol, Madrid, España",True
"Piso en calle de Diego de León, Castellana, Madrid",barrio-de-salamanca,40.4348409,-3.6813571,"calle de Diego de León, Castellana, Madrid, España",True
"Piso en calle de Buenavista, Lavapiés-Embajadores, Madrid",centro,40.4099158,-3.6991806,"calle de Buenavista, Lavapiés-Embajadores, Madrid, España",True
"Chalet adosado en calle Mayo, Rejas, Madrid",san-blas,40.4448868,-3.5720332,"Rejas, Madrid, España",True
"Piso en calle de San Raimundo, Bellas Vistas, Madrid",tetuan,40.4517501,-3.7065996,"calle de San Raimundo, Bellas Vistas, Madrid, España",True
"Piso en avenida de Nuestra Señora de Valvanera, San Isidro, Madrid",carabanchel,40.3912772,-3.7376684,"avenida de Nuestra Señora de Valvanera, San Isidro, Madrid, España",True
"Piso en calle de López de Hoyos, Castellana, Madrid",barrio-de-salamanca,40.4368024,-3.6877042,"calle de López de Hoyos, Castellana, Madrid, España",True
"Piso en calle de San Vicente Ferrer, Malasaña-Universidad, Madrid",centro,40.425774,-3.7039957,"calle de San Vicente Ferrer, Malasaña-Universidad, Madrid, España",True
"Ático en Alameda de Osuna, Madrid",barajas,40.4575814,-3.5879745,"Alameda de Osuna, Madrid, España",True
"Piso en via Gran, Malasaña-Universidad, Madrid",centro,40.4220401,-3.7087133,"via Gran, Malasaña-Universidad, Madrid, España",True
"Piso en calle Juan Ramón Jiménez, 8, Bernabéu-Hispanoamérica, Madrid",chamartin,40.2921366,-3.7474164,"calle Juan Ramón Jiménez, 8, Madrid, España",True
"Piso en calle de Ayala, 74, Goya, Madrid",barrio-de-salamanca,40.4274099,-3.678957,"calle de Ayala, 74, Goya, Madrid, España",True
"Piso en calle Núñez de Balboa, Recoletos, Madrid",barrio-de-salamanca,40.4276778,-3.6825696,"calle Núñez de Balboa, Recoletos, Madrid, España",True
"Dúplex en avenida de la Aviación, 24, Cuatro Vientos, Madrid",latina,40.3814234,-3.7873112,"avenida de la Aviación, 24, Cuatro Vientos, Madrid, España",True
"Piso en calle Zaratán, Simancas, Madrid",san-blas,40.4295088,-3.6251546,"calle Zaratán, Simancas, Madrid, España",True
"Piso en calle de Marcelo Usera, 153, Zofío, Madrid",usera,40.3851832,-3.7142539,"calle de Marcelo Usera, 153, Zofío, Madrid, España",True
"Piso en calle de Jacinto Verdaguer, Opañel, Madrid",carabanchel,40.3955716,-3.71732,"calle de Jacinto Verdaguer, Opañel, Madrid, España",True
"Chalet en calle de Guecho, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en calle de la Primavera de Praga, Media Legua, Madrid",moratalaz,40.4114674,-3.6559913,"calle de la Primavera de Praga, Media Legua, Madrid, España",True
"Ático en calle Lenguas, 18, Villaverde Alto, Madrid",villaverde,40.3430922,-3.7036297,"calle Lenguas, 18, Villaverde Alto, Madrid, España",True
